City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,84.09,66,0,11.5,ZA,1706538451
1,taoudenni,22.6783,-3.9836,84.18,7,0,9.1,ML,1706538623
2,new norfolk,-42.7826,147.0587,51.3,95,15,2.95,AU,1706538623
3,arraial do cabo,-22.9661,-42.0278,82.36,74,75,6.91,BR,1706538623
4,margaret river,-33.95,115.0667,58.37,79,0,12.17,AU,1706538624
5,port alfred,-33.5906,26.891,86.27,63,62,22.15,ZA,1706538624
6,tromso,69.6496,18.957,37.42,56,75,48.34,NO,1706538624
7,feijo,-8.1642,-70.3536,80.06,79,97,3.91,BR,1706538624
8,san patricio,28.017,-97.5169,53.46,62,13,1.5,US,1706538624
9,invercargill,-46.4,168.35,55.02,88,88,1.01,NZ,1706538624
10,albany,42.6001,-73.9662,32.65,81,100,7.9,US,1706538428
11,colonia,50.9333,6.95,58.42,61,0,8.05,DE,1706538513
12,madinat ash shamal,26.1293,51.2009,67.21,58,100,10.63,QA,1706538609
13,punta arenas,-53.15,-70.9167,55.51,71,75,14.97,CL,1706538625
14,tura,25.5198,90.2201,57.49,57,0,3.06,IN,1706538625
15,mount pearl,47.5166,-52.7813,29.95,81,100,6.91,CA,1706538626
16,tofol,5.3248,163.0078,81.66,66,100,9.66,FM,1706538626
17,atafu village,-8.5421,-172.5159,83.3,74,98,4.0,TK,1706538626
18,ilulissat,69.2167,-51.1,-12.98,64,20,4.61,GL,1706538626
19,waitangi,-43.9535,-176.5597,61.83,97,84,1.99,NZ,1706538626
20,fuxin,42.0156,121.6589,11.98,62,0,3.24,CN,1706538626
21,ibarreta,-25.2144,-59.8585,94.12,25,82,3.04,AR,1706538627
22,iskateley,67.6803,53.1512,17.02,92,100,18.99,RU,1706538627
23,port-aux-francais,-49.35,70.2167,39.99,77,70,37.47,TF,1706538627
24,forest grove,45.5198,-123.1107,53.56,90,100,4.61,US,1706538627
25,papatowai,-46.5619,169.4708,54.59,87,90,5.48,NZ,1706538627
26,blackmans bay,-43.0167,147.3167,50.13,78,0,1.99,AU,1706538628
27,opuwo,-18.0607,13.84,89.69,25,77,4.97,NA,1706538628
